longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.976507,37.85184518,1451,黒鳥公園,黒鳥5920番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,黒埼地区,屋外
139.0120109,37.87503386,1452,ときめきけやき公園,ときめき東1-3-2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,黒埼地区,屋外
139.0275334,37.88981049,1467,上山公園,愛宕3丁目5番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.0272805,37.88692329,1468,愛宕公園,愛宕1丁目5番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.0145411,37.87127842,1474,山田公園,山田3358番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西区,屋外
139.0601605,37.88287386,1311,新潟スタジアム,清五郎68番地1,025-287-8811, ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
139.0821544,37.87145034,1428,かわね公園,亀田工業団地1丁目2528番地17, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.0453194,37.88928227,1463,鳥屋野運動公園,女池南3丁目6番4号, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,南地区,屋外
139.0461393,37.88060527,1464,鳥屋野潟公園,鐘木，清五郎，女池, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,南地区,屋外
139.044335,37.8888682,1465,鳥屋野交通公園,女池南3丁目6番3号, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.0409686,37.84665615,1466,舞平公園,平賀234-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.0411015,37.86680575,1470,しゅもく公園,曽野木1丁目18番1号, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.1448715,37.85637426,1324,横越中央西公園,横越中央1丁目4606番地6, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1466827,37.8564174,1325,横越中央東公園,横越中央2丁目4611番地21, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1452896,37.84975987,1326,横越さつき公園,横越上町1丁目543番地10, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.1371659,37.87595109,1342,うぐいす公園,うぐいす2丁目313番地8, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,江南区,屋外
139.1440462,37.85726359,1343,いぶき野公園,いぶき野1丁目101番地4, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,江南区,屋外
139.1518799,37.88182964,1344,大江山公園,笹山423番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,江南区,屋外
139.095755,37.85815764,1393,亀田総合運動公園,茅野山３丁目１, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
139.128053,37.85768597,1394,亀田曙公園,曙町４丁目230番地54, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,亀田地区,屋外
